_id,Begin Date,Owner Name,Trade Name,Business Address,Business City,Business State,Business Zip Code,Business Zip+4,Telephone,Mailing Address,Mailing City,Mailing State,Mailing Zip Code,Mailing Zip+4,NAICS,Business Classification
1,2018-07-09T00:00:00, KASMARK THOMAS LEE,VENTILATION SPECIALIST,3832 CUMBERLAND PKWY,VIRGINIA BEACH,VA,23452,2220,757-232-4866,3832 CUMBERLAND PKWY,VIRGINIA BEACH,VA,23452,2220,322293-01,Commission Merchant
2,2018-03-09T00:00:00, QUINA WILLIAM QUINA ROBIN,PUP PLAN,3832 LASALLE DR APT 105,VIRGINIA BEACH,VA,23453,4774,321-295-6504,3832 LASALLE DR APT 105,VIRGINIA BEACH,VA,23453,4774,812910-01,Animal Care Service
3,2018-03-09T00:00:00, QUINA WILLIAM QUINA ROBIN,PUP PLAN,3832 LASALLE DR APT 105,VIRGINIA BEACH,VA,23453,4774,321-295-6504,3832 LASALLE DR APT 105,VIRGINIA BEACH,VA,23453,4774,812990-01,Personal Service - General
4,2019-02-15T00:00:00, PLUSH N PRETTY BOUTIQUE LLC,PLUSH N PRETTY BOUTIQUE LLC,3832 SHOOTING STAR DR,VIRGINIA BEACH,VA,23456,1319,757-502-9895,3832 SHOOTING STAR DR,VIRGINIA BEACH,VA,23456,1319,454890-02,Nonstore Retailer
5,2018-05-04T00:00:00, PIVOTAL VENTURES LLC,PIVOTAL VENTURES LLC,3835 WINTHROPE CIR,VIRGINIA BEACH,VA,23452,3924,757-647-4979,3835 WINTHROPE CIR,VIRGINIA BEACH,VA,23452,3924,923110-01,Educational Service
6,2020-04-24T00:00:00, RDP CONTRACTING INC,RDP CONTRACTING INC,5662 E VIRGINIA BEACH BLVD,NORFOLK                            ,VA,23502,2428,757-285-0532,3836 THREE SHIPS LNDG,VIRGINIA BEACH,VA,23455,1675,235990-02,Construction - Special Trade - OOT
7,2019-02-11T00:00:00," TRAN, LIEN T",LIEN T TRAN,2212 GENERAL BOOTH BLVD             #210,VIRGINIA BEACH                     ,VA,23454,0000,757-563-9000,3837 CHARTER OAK RD,VIRGINIA BEACH,VA,23452,3214,812113-02,Beauty & Nail Salon
8,2018-01-01T00:00:00, BARONGAN JENNIER MARIE,JEN AND JUICE,3322 VIRGINIA BEACH BLVD STE 101A,VIRGINIA BEACH,VA,23452,5608,757-338-7848,3837 FORRESTER LN,VIRGINIA BEACH,VA,23452,2835,722320-01,Caterer
9,2019-04-23T00:00:00," STONE, COTTONWOOD C",COTTONWOOD C STONE,384 REFLECTIONS DR APT 102,VIRGINIA BEACH,VA,23452,8330,757-301-1129,384 REFLECTIONS DR APT 102,VIRGINIA BEACH,VA,23452,8330,541611-01,Consulting Service
10,2018-03-29T00:00:00, JACKSON ELIZABETH BLAIR,VIBE N DESIGNS,3840 BANYAN GROVE LN APT 103,VIRGINIA BEACH,VA,23462,5004,713-416-4995,3840 BANYAN GROVE LN APT 103,VIRGINIA BEACH,VA,23462,5004,454890-02,Nonstore Retailer
11,2020-08-20T00:00:00, CELESTIAL CONTRACTING LLC,CELESTIAL CONTRACTING LLC,3840 CONCORD BRIDGE RD,VIRGINIA BEACH,VA,23452,3217,757-652-4564,3840 CONCORD BRIDGE RD,VIRGINIA BEACH,VA,23452,3217,235990-01,Construction - Special Trade
12,2020-10-01T00:00:00, SPOTTED DRAGONFLY BOUTIQUE LLC,SPOTTED DRAGONFLY BOUTIQUE LLC,3840 JOUSTING ARCH,VIRGINIA BEACH,VA,23456,4919,757-779-7127,3840 JOUSTING ARCH,VIRGINIA BEACH,VA,23456,4919,454890-02,Nonstore Retailer
